Parent,Section,Section Title,Section Body Text,Section Start Page,Section End Page
,1,INTENT AND OVERVIEW,,1,1
1,1.1,Intent,"The intent of this Residential Inclusive district schedule is to enable a variety of small-scale housing
options while retaining the single lot character of the area. Housing options include multiple dwelling s
(“multiplex” up to 6 dwelling units, or up to 8 rental dwelling units), duplexes and single detached houses.
Duplexes may include additional dwelling units such as secondary suites and lock-off units, and single
detached houses may include additional dwelling units such as secondary suites and laneway houses.
Retention of character houses is encouraged by permitting infill and multiple conversion dwelling s where a
character house is retained.
Without limitation, applicable Council policies and guidelines for consideration include the Guidelines for
Additions, Infill and Multiple Conversion Dwelling in the , RT -7 and RT-9 Zones and Flood Plain
Standards and Requirements .",1,1
1,1.2,Overview,"The table below provides an overview of the outright and conditional approval uses in the district,
categorized by the minimum site area required, where applicable. Applicable density, form and placement
regulations in section 3 of this schedule are cross-referenced in the third column.
Minimum
Site Area
Use
Density, Form
and Placement
Regulations
557 m2Multiple dwelling containing 6, 7 or 8 dwelling units 3.1
464 m2Multiple dwelling containing 5 dwelling units 3.1
306 m2Multiple dwelling containing 3 or 4 dwelling units 3.1
Duplex or Duplex with Secondary Suite 3.2
Single Detached House or Single Detached House with
Secondary Suite3.2
-- Other uses in section 2.1 of this schedule 3.2",1,1
,2,USE REGULATIONS,,2,6
2,2.1,Outright and Conditional Approval Uses,"All outright and conditional approval uses are subject to all other provisions of this by-law , including
Section 2 , Section 10 and Section 11 , and compliance with the regulations of this schedule including
section 2.2.
The uses identified in the table below as outright approval uses are permitted in this district and will be
issued a permit.
The uses identified in the table below as conditional approval uses may be approved in this district by
the Director of Planning, with or without conditions, if the Director of Planning considers the intent of this
schedule and all applicable Council policies and guidelines.
Uses are listed under their general land use category. Applicable use-specific regulations in section 2.2
of this schedule are cross-referenced in the third column. Cross-references to applicable use-specific
regulations are provided for information purposes only and do not form part of this by-law .
Use Approval
Use-Specific
Regulations
Agricultural Uses
Urban Farm - Class A Conditional
Cultural and Recreational Uses
Comm unity Centre or Neighbourhood House Conditional
Golf Course or Driving Range Conditional
Library, in combination with Comm unity Centre Conditional
Marina Conditional
Park or Playground Conditional
Stadium or Arena Conditional
Zoo or Botanical Garden Conditional
Dwelling Uses
Duplex Outright
Duplex with Secondary Suite Conditional2.2.1 , 2.2.2 ,
2.2.3
Infill, in combination with the retention of a character house Conditional 2.2.1 , 2.2.2
Infill, existing as of October 17, 2023 Conditional
Laneway House Conditional2.2.1 , 2.2.2 ,
2.2.4
Mixed-Use Residential Building Conditional 2.2.5
Multiple Conversion Dwelling, resulting from the conversion of a
character house Conditional2.2.1 , 2.2.2 ,
2.2.6
Use Approval
Use-Specific
Regulations
Multiple Conversion Dwelling, existing as of October 17, 2023 Conditional
Multiple Dwelling, containing no more than 8 dwelling units Conditional2.2.1 , 2.2.2 ,
2.2.7 , 2.2.8 ,
2.2.9 , 2.2.10
Principal Dwelling Unit with Lock-Off Unit Conditional 2.2.11
Seniors Supportive or Assisted Housing Conditional
Single Detached House Outright
Single Detached House with Secondary Suite Conditional 2.2.1 , 2.2.2
Single Detached House in combination with another Single
Detached House, existing as of October 17, 2023Conditional
Institutional Uses
Ambulance Station Conditional
Child Day Care Facility Conditional
Church Conditional
Comm unity Care Facility - Class A Outright 2.2.12
Comm unity Care Facility - Class B Conditional
Group Residence Conditional
Hospital Conditional
Public Authority Use, essential in this district Conditional
School - Elementary or Secondary Conditional
Social Service Centre Conditional
Office Uses
Temporary Sales Office Conditional
Parking Uses
Parking Area, ancillary to a principal use on an adjacent site Conditional
Retail Uses
Farmers’ Market Conditional 2.2.13
Neighbourhood Grocery Store Conditional
Public Bike Share Conditional
Shared E-Scooter System Conditional
Service Uses
Bed and Breakfast Accommodation Conditional
Short Term Rental Accommodation Conditional
Utility and Communication Uses
Use Approval
Use-Specific
Regulations
Public Utility Conditional
uncategorized
Accessory Buildings, customarily ancillary to any use listed in this
section 2.1Outright 2.2.14
Accessory Buildings, customarily ancillary to any use listed in this
section 2.1 and not permitted as an outright approval use
Conditional
Accessory Uses, customarily ancillary to any outright approval use
listed in this section 2.1Outright 2.2.15
Accessory Uses, customarily ancillary to any conditional approval
use listed in this section 2.1Conditional
Deposition or extraction of material, which alters the configuration of
the land
Conditional",2,4
2,2.2,Use-Specific Regulations,,4,4
2.2,2.2.1,,"2.2.1 A new multiple dwelling , duplex with secondary suite, single detached house with secondary suite,
laneway house, infill in combination with the retention of a character house, or multiple conversion dwelling
resulting from the conversion of a character house may only be permitted if:
(a) on a site less than 15. 1 m in width, a minimum of 1 existing tree located in the front yard is retained
or, where an existing tree in the front yard cannot be retained or where there are no existing trees in
the front yard, a minimum of 1 tree is planted in the front yard; and
(b) on a site 15. 1 m in width or wider, a minimum of 2 existing trees located in the front yard of the
site are retained or, where an existing tree in the front yard cannot be retained or where there are
no existing trees in the front yard, a minimum of 1 tree in the case where 1 existing tree could be
retained, or 2 trees in the case where no trees could be retained or there were no existing trees, are
planted in the front yard,
except that for a site without access to a lane, the Director of Planning may vary any requirement in this
section 2.2.1 .",4,6
2.2,2.2.2,,"2.2.2 For the purposes of fulfilling the requirements of section 2.2.1 above:
(a) existing trees that are retained must have a trunk or stem the diameter of which, or 2 or more trunks
or stems the combined diameter of the 2 or 3 largest trunks or stems of which, measured 1. 4 m above
the existing grade of the ground adjoining its base, is 20 cm or more; and
(b) for each tree that must be planted, any of the following may be planted:
(i) 1 tree as described in Part 1 of Schedule D of the Protection of Trees By-law ,
(ii) 2 trees as described in Part 2 of Schedule D of the Protection of Trees By-law , or
(iii) a tree or trees acceptable to the Director of Planning,
except that in the case of a sloping site, 1 tree as described in Part 2 of Schedule D of the Protection
of Trees By-law may be planted.",4,6
2.2,2.2.3,,2.2.3 Duplex with secondary suite must have no more than 1 secondary suite for each dwelling unit.,5,6
2.2,2.2.4,,"2.2.4 Laneway house is regulated by Section 11 of this by-law and sections 3 and 4 of this schedule do not
apply.",5,6
2.2,2.2.5,,2.2.5 The only non- dwelling use permitted in a mixed-use residential building is neighbourhood grocery store.,5,6
2.2,2.2.6,,"2.2.6 Multiple conversion dwelling resulting from the conversion of a character house, may be permitted if it
contains no housekeeping or sleeping units.",5,6
2.2,2.2.7,,"2.2.7 Multiple dwelling containing 7 or 8 dwelling units is only permitted where all of the dwelling units are non-
stratified and secured as residential rental tenure.",5,4
2.2,2.2.8,,"2.2.8 Multiple dwelling is only permitted on a site that:
(a) consists of a single lot on record in the Land Title Office:
(i) prior to October 17, 2023, or
(ii) created by subdivision;
(b) provides vehicular access from the rear of the site; and
(c) is not located partially or fully within a designated flood plain.",5,5
2.2,2.2.9,,"2.2.9 Multiple dwelling s containing the number of dwelling units specified in the first column below must have
a minimum number of dwelling units with 2 or more bedrooms according to the second or third column
below:
Number of dwelling units
Multiple dwelling s where
all of the dwelling units
except a dwelling unit
occupied by a registered
owner are secured as
residential rental tenure All other
multiple
dwelling s
Multiple dwelling containing 3 dwelling units 1 dwelling unit 2 dwelling units
Multiple dwelling containing 4 dwelling units 1 dwelling unit 2 dwelling units
Multiple dwelling containing 5 dwelling units 2 dwelling units 3 dwelling units
Multiple dwelling containing 6 dwelling units 2 dwelling units 3 dwelling units
Multiple dwelling containing 7 dwelling units 2 dwelling units Not applicable
Multiple dwelling containing 8 dwelling units 3 dwelling units Not applicable",5,5
2.2,2.2.10,,"2.2.10 For multiple dwelling , the Director of Planning may permit more than 1 principal building on a site, if the
Director of Planning considers the intent of this schedule and all applicable Council policies and guidelines.",6,5
2.2,2.2.11,,"2.2.11 Principal dwelling unit with lock-off unit may be permitted only in:
(a) a duplex and there may be no more than 1 lock-off unit for each dwelling unit; and
(b) a duplex with secondary suite if there is only 1 secondary suite and only 1 lock-off unit, and the lock-
off unit is in the dwelling unit without a secondary suite.",6,5
2.2,2.2.12,,"2.2.12 Comm unity care facility - class A is subject to the regulations, variations and relaxations that apply to single
detached house.",6,5
2.2,2.2.13,,"2.2.13 Farmers’ market may be permitted if the Director of Planning considers the appropriateness of the use
with respect to compatibility with nearby sites, parking, traffic, noise, hours of operation, size of facility and
pedestrian amenity.",6,5
2.2,2.2.14,,"2.2.14 Accessory buildings customarily ancillary to any use listed in section 2.1 of this schedule are permitted as
an outright approval use if:
(a) no accessory building exceeds a
building height of 4.6 m;
(b) all accessory buildings are located:
(i) in the rear yard,
(ii) at least 3. 1 m from the ultimate
centre line of any rear or flanking
lane, and
(iii) at least 0. 6 m from the ultimate
rear property line; and
(c) the total floor area of all accessory
buildings, measured to the extreme
outer limits of the building, does not
exceed 48 m2.",6,5
